ITEM, VR. UNITARIO
1.1.1,1039990
1.1.2,1301976
1.1.3,2804256
1.1.4,5238460
1.1.5,6286153
1.1.6,12447
1.1.7,23136
1.1.8,16020
1.1.9,34039
1.1.10,74384
1.1.11,245815
1.1.12,3076
1.1.13,2460
1.1.14,972800
1.3.1.1,112535
1.3.1.2,191311
1.3.2.1,23068
1.3.2.2,27820
1.3.2.3,66768
1.3.2.4,66768
1.3.2.5,14349
1.3.2.6,25000
1.3.2.7,36166
1.3.2.8,36166
1.3.3.1,7233
1.3.3.2,7790
1.3.3.3,15615
1.3.3.4,62459
1.3.3.5,27820
1.3.3.6,12638
1.3.3.7,15185
1.3.3.8,15185
1.3.3.9,27820
1.3.3.10,7109
1.3.3.11,69550
1.3.3.12,6677
1.3.3.13,83519
1.3.3.14,89024
1.3.3.15,33384
1.3.3.16,83460
1.3.3.17,222560
1.3.3.18,9459
1.3.3.19,9459
1.3.3.20,11351
1.3.3.21,14188
1.3.3.22,15615
1.3.3.23,31230
1.3.3.24,8346
1.3.3.25,13910
1.3.4.1,2924
1.3.4.2,10529
1.3.4.3,8774
1.3.4.4,2782
1.3.4.5,7790
1.3.4.6,13960
1.3.4.7,8787
1.3.4.8,8346
1.3.4.9,7233
1.3.5.1,3895
1.3.5.2,4451
1.3.5.3,3895
1.3.5.4,6232
1.3.5.5,7790
1.3.5.6,10126
1.3.5.7,12463
1.3.5.8,8500
1.3.5.9,5564
1.3.5.10,15301
1.3.6.1,94490
1.3.6.2,278200
1.3.6.3,12762
1.3.6.4,19812
1.3.6.5,34974
1.3.6.6,48362
1.3.6.7,2782
1.3.6.8,4451
1.3.6.9,8902
1.3.6.10,17805
1.3.6.11,3895
1.3.6.12,6621
1.3.6.13,11256
1.3.6.14,19698
1.3.6.15,9459
1.3.6.16,18918
1.3.6.17,5063
1.3.6.18,6232
1.3.6.19,30000
1.3.6.20,87079
1.3.6.21,116105
1.3.6.22,29026
1.3.6.23,40638
1.3.6.24,8902
1.3.6.25,26208
1.3.6.26,52415
1.3.6.27,26208
1.3.6.28,52415
1.3.6.29,43678
1.3.6.30,87356
1.3.6.31,25038
1.3.6.32,43678
1.3.6.33,87356
1.3.6.34,16692
1.3.6.35,7300
1.3.6.36,11072
1.3.6.37,162961
1.3.6.38,2194
1.3.7.1,4451
1.3.7.2,5564
1.3.7.3,7790
1.3.7.4,8778
1.3.7.5,10015
1.3.7.6,10182
1.3.8.1,3438
1.3.8.2,20002
1.3.8.3,3338
1.3.8.4,4173
1.3.8.5,11233
1.3.8.6,7790
1.3.8.7,6668
1.3.8.8,2668
1.3.8.9,4451
1.3.8.10,5564
1.3.8.11,5564
1.3.8.12,6677
1.3.8.13,7233
1.3.8.14,8346
1.3.8.15,16815
1.3.8.16,22869
1.3.8.17,24081
1.3.9.1,10207
1.3.9.2,20413
1.3.9.3,20413
1.3.9.4,6379
1.3.9.5,167972
1.3.9.6,229535
1.3.9.7,27462
1.3.9.8,63021
1.3.9.9,24355
1.3.9.10,13354
1.3.9.11,10207
1.3.9.12,5103
1.3.9.13,251791
1.3.9.14,9315
1.3.9.15,11734
1.3.9.16,34057
1.3.9.17,13623
1.3.9.18,15072
1.3.9.19,64709
1.3.9.20,68485
1.3.9.21,133654
1.3.9.22,99581
1.3.9.23,325570
1.3.10.1,5564
1.3.10.2,7790
1.3.10.3,8346
1.3.10.4,20435
1.3.10.5,16247
1.3.10.6,33384
1.3.10.7,122408
1.3.10.8,284431
1.3.10.9,349117
1.4.1,42286
1.4.2,51559
2.1.1,19804
2.1.2,12769
2.1.3,44940
2.1.4,69747
2.1.5,77362
2.1.6,77362
2.1.7,101187
2.1.8,136881
2.1.9,11403
2.1.10,13629
2.1.11,76922
2.1.12,95842
2.1.13,11000
2.1.14,22000
2.2.1.1,22609
2.2.1.2,24835
2.2.1.3,274783
2.2.1.4,561218
2.2.1.5,561218
2.2.1.6,606715
2.2.1.7,561218
2.2.1.8,60169
2.2.1.9,27183
2.2.1.10,67959
2.2.1.11,93729
2.2.1.12,77456
2.2.1.13,82809
2.2.1.14,103228
2.2.1.15,91704
2.2.1.16,103578
2.2.1.17,115451
2.2.1.18,130459
2.2.1.19,147733
2.2.1.20,79474
2.2.1.21,72507
2.2.1.22,82915
2.2.1.23,121451
2.2.2.1,583461
2.3.1.1,716157
2.3.1.2,937116
2.3.1.3,768325
2.3.2.1,937116
2.3.3.1,787116
2.4.1,3365
2.4.2,3769
2.5.1,643614
2.5.2,9150
2.5.3,43936
2.7.1.1,70061
3.1.1,12769
3.1.2,44940
3.1.3,9630
3.1.4,44940
3.1.5,32283
3.1.6,69747
3.1.7,97320
3.1.8,38235
3.1.9,77362
3.1.10,19251
3.1.11,11403
3.1.12,13629
3.1.13,76922
3.1.14,95842
3.1.15,9606
3.1.16,18823
3.1.17,26352
3.2.1.1,17911
3.2.1.2,23635
3.2.1.3,30752
3.2.1.4,46706
3.2.1.5,27670
3.2.1.6,28523
3.2.1.7,57030
3.2.1.8,44201
3.2.1.9,44528
3.2.1.10,83820
3.2.1.11,74810
3.2.1.12,82201
3.2.1.13,159426
3.2.1.14,129063
3.2.1.15,177840
3.2.1.16,72109
3.2.1.17,104273
3.2.1.18,178172
3.2.1.19,327042
3.2.1.20,637846
3.2.1.21,135586
3.2.1.22,159250
3.2.1.23,249968
3.2.1.24,549767
3.2.1.25,971463
3.2.2.1,56570
3.2.2.2,77009
3.2.2.3,108814
3.2.2.4,127050
3.2.2.5,169663
3.2.2.6,374158
3.2.2.7,902534
3.2.2.8,1066834
3.2.2.9,129085
3.2.4.1,11585
3.2.5.1,90409
3.2.5.2,138589
3.2.6.1,35408
3.2.6.2,189176
3.2.6.3,308870
3.2.6.4,11847
3.2.6.5,454394
3.2.6.6,387568
3.2.6.7,561229
3.2.6.8,813553
3.2.6.9,913386
3.2.6.10,1057620
3.2.6.11,1410159
3.2.6.12,977038
3.2.6.13,1369865
3.2.6.14,2443045
3.2.6.15,2931654
3.2.6.16,3664568
3.2.6.17,5666785
3.2.6.18,77896
3.2.6.19,110668
3.2.6.20,74190
3.2.7.1,1224336
3.2.7.2,2118909
3.2.7.3,3965761
3.2.7.4,5948641
3.2.7.5,7629557
3.2.7.6,12970247
3.2.7.7,20335482
3.2.8.1,95701
3.2.8.2,112393
3.3.1.1,716068
3.3.1.2,1080773
3.3.1.3,2004254
3.3.1.4,79300
3.3.1.5,86437
3.3.1.6,86437
3.3.1.7,120000
3.3.1.8,716068
3.3.4.1,1055177
3.3.4.2,955827
3.3.6.1,2495976
3.3.6.2,3730093
4.1.1.1,684004
4.1.1.2,719983
4.1.2.1,678581
4.1.2.2,718086
4.1.2.3,751139
4.1.2.4,790642
4.1.3.1,137627
4.1.3.2,147079
4.1.3.3,160266
4.1.3.4,104737
4.1.3.5,114234
4.1.3.6,125659
4.1.3.7,139732
4.1.3.8,155866
4.1.3.9,108286
4.1.3.10,127400
4.1.3.11,162346
4.1.3.12,137749
4.1.3.13,32899
4.1.4.1,615603
4.1.4.2,835221
4.2.1.1,950154
4.2.1.2,995649
4.2.1.3,932955
4.2.1.4,978452
4.3.1,3365
4.3.2,3769
4.4.1.1,7500
4.4.2.1,7500
4.4.2.2,7500
4.4.3.1,7500
4.4.3.2,62475
4.4.4.1,202702
4.4.4.2,100560
4.4.4.3,7500
4.4.4.4,7500
4.5.3.1,90000
4.5.3.2,16592
4.6.1,8087
4.6.2,5111
4.6.3,12876
4.6.4,18211
4.6.5,34240
4.6.6,62751
4.6.7,138915
4.7.1,49246
4.7.2,2800
4.7.3,3319
4.7.4,4082
4.7.5,4844
4.7.6,5939
4.7.7,7984
4.9.2.1,8587
4.9.4.1,5913
5.1.1,66426
5.1.2,78842
5.1.3,83442
5.1.4,91254
5.1.5,101180
5.1.6,46495
5.2.1,28187
5.2.2,29411
5.2.3,29481
5.2.4,30816
5.2.5,63351
5.2.6,77253
5.2.7,71546
5.2.8,61138
5.2.9,64816
5.2.10,126703
5.2.11,154506
5.2.12,95000
5.3.1,29573
5.3.2,80617
5.4.1,20520
5.4.2,39145
5.4.3,615603
5.4.4,6554
5.4.5,25000
5.5.1,7352
5.5.2,6225
5.5.3,8186
5.5.4,9150
5.5.5,3205
5.5.6,3365
5.6.1,3338
6.1.1.1,29227
6.1.1.2,42179
6.1.2.1,37231
6.1.2.2,79762
6.1.5.1,166920
6.1.5.2,189176
6.1.5.3,190289
6.1.5.4,210319
6.1.5.5,279192
6.1.5.6,117217
6.1.5.7,218798
6.1.5.8,83460
6.1.5.9,22706
6.1.7.1,22972
6.1.7.2,32633
6.1.8.1,64137
6.1.8.2,79438
6.1.8.3,165555
6.1.8.4,196500
6.1.8.5,23933
6.1.9.1,67174
6.1.10.1,20397
6.1.11.1,104325
6.1.11.2,262899
6.1.11.3,47140
6.1.12.1,143195
6.1.12.2,241433
6.1.12.3,59839
6.1.12.4,82750
6.1.13.1,5564
6.1.13.2,83657
6.1.13.3,97858
6.1.13.4,96990
6.1.13.5,287328
6.1.13.6,225998
6.1.13.7,1463234
6.1.13.8,5800
6.2.1,5878
6.2.2,9150
6.2.3,3365
6.2.4,3769
7.1.1.1,40156
7.1.1.2,64782
7.1.1.3,72950
7.1.2.1,56350
7.1.2.2,73316
7.1.2.3,77524
7.1.2.4,52582
7.1.2.5,82394
7.1.2.6,91564
7.1.2.7,109964
7.2.1,94669
7.3.1,11999
7.3.2,9717
7.3.3,13309
7.3.4,17037
7.3.5,30050
7.3.6,34497
7.3.7,37862
7.3.8,29600
7.3.9,52858
7.3.10,79549
7.5.1,6240
8.1.1.1,22922
8.1.1.2,25226
8.1.1.3,39575
8.1.1.4,155600
8.1.1.5,361260
8.1.1.6,666545
8.1.1.7,1804815
8.1.3.1,15603
8.1.3.2,16544
8.1.3.3,17091
8.1.3.4,18033
8.1.3.5,19036
8.1.3.6,19978
8.1.3.7,20835
8.1.3.8,21777
8.1.3.9,21400
8.1.3.10,23047
8.1.3.11,23474
8.1.3.12,25121
8.1.3.13,24521
8.1.3.14,26169
8.1.3.15,26876
8.1.3.16,28523
8.1.3.17,26680
8.1.3.18,28564
8.1.3.19,29251
8.1.3.20,31134
8.1.3.21,28399
8.1.3.22,30752
8.1.3.23,31628
8.1.3.24,33981
8.1.3.25,43173
8.1.3.26,46706
8.1.3.27,46936
8.1.3.28,51609
8.1.3.29,57030
8.1.3.30,59046
8.1.3.31,83820
8.1.3.32,88247
8.1.3.33,159426
8.1.3.34,170974
8.1.3.35,48780
8.1.3.36,68199
8.1.3.37,200459
8.1.5.1,22516
8.1.5.2,30631
8.1.5.3,46681
8.1.5.4,60283
8.1.5.5,76501
8.1.6.1,32829
8.1.6.2,32829
8.1.6.3,32829
8.1.6.4,32829
8.1.6.5,68680
8.1.6.6,32829
8.1.6.7,32829
8.1.6.8,32829
8.1.6.9,95836
8.1.6.10,120051
8.1.6.11,16973
8.1.6.12,23918
8.1.6.13,28626
8.1.6.14,35049
8.1.6.15,41441
8.1.8.1,29638
8.1.8.2,32305
8.1.8.3,31826
8.1.8.4,34690
8.1.8.5,43065
8.1.8.6,46941
8.1.8.7,77061
8.1.8.8,83997
8.1.8.9,28769
8.1.8.10,31358
8.1.8.11,30718
8.1.8.12,33482
8.1.8.13,44629
8.1.8.14,48645
8.1.8.15,33017
8.1.8.16,36476
8.1.9.1,52515
8.1.9.2,52515
8.1.9.3,52515
8.1.9.4,74949
8.1.9.5,52515
8.1.9.6,84023
8.1.9.7,52515
8.1.9.8,43110
8.1.9.9,57151
8.1.9.10,76656
8.1.9.11,26891
8.1.9.12,31433
8.1.9.13,37475
8.1.9.14,59025
8.1.9.15,44969
8.1.9.16,70830
8.1.11.1,86353
8.1.11.2,124522
8.1.11.3,842447
8.1.11.4,412900
8.1.11.5,222080
8.1.11.6,337811
8.1.11.7,445752
8.1.11.8,679440
8.1.11.9,2260729
8.1.11.10,12305000
8.2.2.1,30803
8.2.2.2,36129
8.2.2.3,38559
8.2.2.4,55351
8.2.2.5,82391
8.2.2.6,99626
8.2.2.7,148844
8.2.2.8,212214
8.2.2.9,297813
8.2.2.10,727670
8.2.4.1,1457623
8.2.4.2,1555063
8.2.4.3,350000
8.2.4.4,1540730
8.2.4.5,5850000
8.2.4.6,5373000
8.2.5.2,1074800
8.2.5.3,1170550
8.2.5.4,1309000
8.2.5.5,1875000
8.2.5.6,1895000
8.2.6.1,246330000
8.2.6.2,279405000
8.3.1.1,22516
8.3.1.2,30631
8.3.1.3,46681
8.3.1.4,39400
8.3.1.5,53806
8.3.2.1,89286
8.3.2.2,89310
8.3.2.3,124618
8.3.3.1,77120
8.4.1.1,33440
8.4.2.1,124618
8.5.2.1,16692
8.5.2.2,23369
8.5.2.3,33384
8.5.2.4,87204
8.5.3.1,8462
8.5.3.2,11017
8.5.3.3,13883
8.5.3.4,16544
8.5.3.5,11550
8.5.3.6,11800
8.5.3.7,14350
8.5.3.8,14000
8.5.3.9,14250
8.5.3.10,16850
8.5.3.11,66785
8.5.3.12,70300
8.5.3.13,74000
8.5.3.14,79800
8.5.3.15,88200
8.5.3.16,92400
8.5.3.17,96600
8.5.3.18,126500
8.5.4.1,23235
8.5.4.2,28818
8.5.4.3,35977
8.5.4.4,48445
8.5.4.5,69561
8.5.4.6,90180
8.5.4.7,157265
8.5.4.8,296161
8.5.4.9,329723
8.5.4.10,33144
8.5.4.11,167470
8.5.4.12,343933
8.5.4.13,28400
8.5.4.14,35900
8.5.4.15,31400
8.5.4.16,54900
8.5.4.17,56280
8.5.4.18,208720
8.5.4.19,43382
8.5.4.20,53672
8.5.4.21,77798
8.5.4.22,119613
8.5.4.23,151292
8.5.4.24,246870
8.5.4.25,402079
8.5.4.26,540887
8.5.4.27,1165789
8.5.4.28,200180
8.5.4.29,258668
8.5.4.30,1760557
8.5.4.31,1760557
8.5.4.32,3030867
8.5.4.33,35271
8.5.4.34,54276
8.5.4.35,49364
8.5.4.36,69910
8.5.4.37,104952
8.5.4.38,189970
8.5.4.39,293981
8.5.4.40,741229
8.5.4.41,1361588
8.5.4.42,1663375
8.5.4.43,52168
8.5.4.44,63141
8.5.4.45,99750
8.5.4.46,201682
8.5.4.47,258479
8.5.4.48,191017
8.5.4.49,210381
8.5.4.50,263232
8.5.4.51,560395
8.5.4.52,809522
8.5.4.53,325394
8.5.4.54,330302
8.5.4.55,430138
8.5.4.56,711036
8.5.4.57,983141
8.5.4.58,725000
8.5.4.59,577657
8.5.4.60,695000
8.5.4.61,1205000
8.5.4.62,2905000
8.5.4.63,4100000
8.6.1,20476
8.6.2,7738634
8.6.3,70697
8.6.4,43239
8.6.5,141394
8.6.6,524703
8.6.7,1049406
8.6.8,2361164
8.6.9,111280
8.6.10,133536
8.6.11,200304
8.6.12,328276
8.6.13,484068
8.6.14,639860
8.6.15,1008573
8.6.16,1680956
8.6.17,495686
9.1.1.1,524703
9.1.1.2,2321299
9.1.1.3,3017689
9.1.1.4,4073880
9.1.2.1,61272
9.1.2.2,133536
9.1.2.3,200304
9.1.2.4,328276
9.1.2.5,484068
9.1.2.6,639860
9.1.2.7,3116
9.1.2.8,125145
9.1.2.9,20648000
9.1.2.10,27261613
9.2.1.1,60736
9.2.1.2,115791
9.2.1.3,929411
9.2.1.4,27408
9.2.1.5,27408
9.2.1.6,27408
9.2.1.7,27408
9.2.1.8,6346530
9.2.1.9,34548800
9.2.1.10,4813829
9.2.1.11,7831625
9.2.1.12,139803290
9.2.1.13,102540352
9.2.1.14,132527311
9.2.1.15,230520
9.2.1.16,818631
9.2.2.1,221750
9.2.2.2,419377
9.2.2.3,501580
9.2.2.4,513076
9.2.2.5,520036
9.2.2.6,675954
9.2.2.7,963392
9.2.2.8,974992
9.2.2.9,995292
9.2.2.10,1073150
9.2.2.11,1219890
9.2.2.12,1404834
9.2.2.13,1556243
9.2.3.1,548261
9.2.3.2,575310
9.2.3.3,604820
9.2.3.4,609538
9.2.3.5,631288
9.2.3.6,667546
9.2.4.1,379770
9.2.4.2,469813
9.2.4.3,630367
9.2.4.4,837769
9.2.4.5,982337
9.2.4.6,1180948
9.2.5.1,230520
9.2.5.2,818631
9.2.5.3,523872
9.2.5.4,651116
9.2.5.5,707016
9.2.5.6,759874
9.2.5.7,843974
9.2.5.8,1236932
9.2.5.9,1583232
9.2.5.10,1806548
9.2.5.11,1881948
9.2.6.1,677852
9.2.6.2,812006
9.2.6.3,1620932
9.2.6.4,1691245
9.2.6.5,2031924
9.2.6.6,2368121
9.2.6.7,3613961
9.2.6.8,4410301
9.2.6.9,5383616
9.2.6.10,5997256
9.2.6.11,7702456
9.2.6.12,9044145
9.2.6.13,11538145
9.2.6.14,14138645
9.2.7.1,1915572
9.2.7.2,2002572
9.2.7.3,2128001
9.2.7.4,2244001
9.2.7.5,2592001
9.2.7.6,2824001
9.2.8.1,1257272
9.2.8.2,1567572
9.2.8.3,2007287
9.2.8.4,2621001
9.2.8.5,1755716
9.2.8.6,3650145
9.2.9.1,1869572
9.2.9.2,2232072
9.2.9.3,2333572
9.2.9.4,2507572
9.2.9.5,3174572
9.2.9.6,5929572
9.2.9.7,7679001
9.2.9.8,8259001
9.2.9.9,9419001
9.2.10.1,1934046
9.2.10.2,694832
9.2.10.3,1391890
9.2.10.4,1508067
9.2.10.5,811009
9.2.10.6,991727
9.2.10.7,694832
9.2.10.8,2192216
9.2.10.9,918149
9.2.10.10,1018835
9.2.10.11,1055062
9.2.10.12,1272153
9.2.10.13,1662968
9.2.10.14,1685224
9.2.10.15,2253197
9.2.11.1,2156147
9.2.11.2,1251347
9.2.11.3,1925307
9.2.11.4,2177027
9.2.11.5,2279107
9.2.11.6,1423027
9.2.11.7,88801
9.2.11.8,177197
9.2.11.9,483407
9.2.11.10,921101
9.2.11.11,717886
9.2.11.12,1173617
9.2.11.13,1678648
9.2.11.14,1709912
9.2.11.15,1750796
9.2.11.16,2857055
9.2.11.17,2857055
9.2.11.18,7546634
9.2.11.19,11514738
9.2.11.20,46922000
9.2.11.21,42000000
9.3.1.1,20476
9.3.1.2,1680956
9.3.2.1,61272
9.4.1.1,60736
9.4.1.2,115791
9.4.1.3,535813
9.4.1.4,127731
9.4.1.5,143996
9.4.1.6,929411
9.4.1.7,10232196
9.4.1.8,21856355
9.4.1.9,3840275
9.4.1.10,17113323
9.4.1.11,121036492
9.4.1.12,198961023
9.4.1.13,216560293
9.4.1.14,237619687
9.4.1.15,330987642
9.4.1.16,329344288
9.4.1.17,442115440
9.4.1.18,382249860
9.4.1.19,470491840
9.4.1.20,514328159
9.4.1.21,7737663
9.4.1.22,9527143
9.4.1.23,10199570
9.4.1.24,8049099
9.4.2.1,309631
9.4.2.2,1376814
9.4.2.3,2721755
9.4.3.1,401268
9.4.3.2,698808
9.4.3.3,735568
9.4.3.4,929438
9.4.3.5,956872
9.4.3.6,1108031
9.4.3.7,1541494
9.4.3.8,4151541
9.4.4.1,365764
9.4.4.2,326896
9.4.4.3,356429
9.4.4.4,442273
9.4.4.5,480466
9.4.4.6,569939
9.4.4.7,851902
9.4.4.8,1564758
9.4.5.1,822920
9.4.5.2,1031720
9.4.5.3,1194920
9.4.5.4,1606138
9.4.5.5,2402978
9.4.5.6,2526236
9.4.5.7,2768716
9.4.6.1,1999186
9.4.6.2,2065886
9.4.6.3,2775019
9.4.6.4,3345519
9.4.6.5,4809459
9.4.6.6,4829759
9.4.6.7,4966059
9.4.6.8,7473793
9.4.7.1,1698942
9.4.7.2,2146441
9.4.7.3,2375935
9.4.7.4,3383685
9.4.7.5,4966703
9.4.7.6,5901989
9.4.7.7,6621336
9.4.7.8,23853574
9.4.8.1,1194052
9.4.8.2,1402852
9.4.8.3,1588452
9.4.8.4,1779347
9.4.8.5,2651087
9.4.8.6,2963781
9.4.8.7,4560521
9.4.8.8,10574616
9.4.9.1,1934046
9.4.9.2,694832
9.4.9.3,1391890
9.4.9.4,1508067
9.4.9.5,811009
9.4.9.6,991727
9.4.9.7,694832
9.4.9.8,2192216
9.4.9.9,918149
9.4.9.10,1018835
9.4.9.11,1055062
9.4.9.12,1272153
9.4.9.13,1662968
9.4.9.14,1685224
9.4.9.15,2253197
9.4.10.1,10200168
9.4.10.2,13738516
9.4.10.3,14318880
9.4.10.4,14615550
9.4.10.5,27935035
9.4.10.6,32683905
9.4.10.7,39191186
9.4.11.1,18919001
9.4.11.2,21674001
9.4.11.3,31548145
9.4.11.4,36197574
9.4.11.5,43751717
9.4.11.6,49551717
9.4.11.7,59769146
9.4.11.8,105023290
9.4.12.1,483407
9.4.12.2,921101
9.4.12.3,856445
9.4.12.4,717886
9.4.12.5,1173617
9.4.12.6,1678648
9.4.12.7,1709912
9.4.12.8,1750796
9.4.12.9,2857055
9.4.12.10,2857055
9.4.12.11,7546634
9.4.12.12,11514738
9.4.13.1,2226
9.4.13.2,1947
9.5.2.1,6877942
9.6.1.1,494083
9.6.1.2,425980
9.6.1.3,425980
9.6.1.4,417300
9.6.1.5,1883200
9.6.2.1,83229
9.6.2.2,425980
9.6.2.3,417300
9.6.2.4,417300
9.6.2.5,417300
9.6.2.6,417300
9.6.2.7,34746
9.7.1.1,6454
9.7.1.2,10327
9.7.1.3,7745
9.7.1.4,30981
9.7.1.5,34853
9.7.1.6,64542
9.7.1.7,64542
9.7.1.8,64542
9.7.1.9,30981
9.7.1.10,64542
9.7.1.11,29689
9.7.1.12,34853
9.7.1.13,119016
9.7.1.14,127794
9.7.1.15,68027
9.7.1.16,68027
9.7.1.17,41307
9.7.1.18,49052
9.7.1.19,7357
9.7.1.20,10327
9.7.1.21,11618
9.7.1.22,11876
9.7.1.23,18072
9.7.1.24,14199
9.7.1.25,29689
9.7.1.26,7745
9.7.1.27,7745
9.7.1.28,7745
9.7.1.29,6454
9.7.1.30,30981
9.7.1.31,6454
9.7.1.32,7745
9.7.1.33,10327
9.7.1.34,42985
9.7.1.35,41307
9.7.1.36,60670
9.7.1.37,27754
9.7.1.38,38725
9.7.1.39,18072
9.7.1.40,20653
9.7.1.41,30981
9.7.1.42,34853
9.7.1.43,23235
9.7.1.44,6454
9.7.1.45,64542
9.7.1.46,34853
9.7.1.47,30981
9.7.1.48,34853
9.7.1.49,30981
9.7.1.50,30981
9.7.1.51,42598
9.7.1.52,30981
9.7.1.53,15812
9.7.1.54,16942
9.7.1.55,15812
9.7.1.56,18072
9.7.1.57,3357
9.7.1.58,3550
9.7.1.59,30981
9.7.1.60,6712
9.7.1.61,64542
9.7.1.62,14845
9.7.1.63,17104
9.7.1.64,6627
9.7.1.65,3872
9.7.1.66,32916
9.7.1.67,32271
9.7.1.68,372360
9.7.1.69,223416
9.7.1.70,223416
9.7.1.71,223416
9.7.1.72,223416
9.7.2.1,23235
9.7.2.2,64542
9.7.2.3,64542
9.7.2.4,64542
9.7.2.5,30981
9.7.2.6,7616
9.7.2.7,20653
9.7.2.8,64542
9.7.2.9,11876
9.7.2.10,29689
9.7.2.11,27107
9.7.2.12,49052
9.7.2.13,27107
9.7.2.14,49052
9.7.2.15,7745
9.7.2.16,6454
9.7.2.17,30981
9.7.2.18,39758
9.7.2.19,43889
9.7.2.20,39758
9.7.2.21,47116
9.7.2.22,42146
9.7.2.23,193627
9.7.2.24,27107
9.7.2.25,55506
9.7.2.26,70997
9.7.2.27,30981
9.7.2.28,61960
9.7.2.29,30981
9.7.2.30,15812
9.7.2.31,15812
9.7.2.32,15812
9.7.2.33,15812
9.7.2.34,17168
9.7.2.35,49052
9.7.2.36,10584
9.7.2.37,3550
9.7.2.38,64542
9.7.2.39,30981
9.7.2.40,66995
9.7.2.41,768055
9.7.2.42,73707
9.7.2.43,374346
9.7.2.44,34208
9.7.2.45,109593
9.7.2.46,64542
9.7.2.47,12908
9.7.2.48,15490
9.7.2.49,6454
9.7.2.50,7745
9.7.2.51,14845
9.7.2.52,3550
9.7.2.53,54861
9.7.2.54,39758
9.7.2.55,42598
9.7.2.56,30981
9.7.2.57,76954
9.7.2.58,17377
9.7.2.59,223416
9.8.1,610571
9.8.2,1350
9.8.3,13037
9.8.4,1742
9.8.5,10132
9.8.6,2444
9.8.7,2322
9.8.8,1983
9.8.9,2112
9.8.10,3699
9.8.11,1854
9.8.12,2384
9.8.13,4500
9.8.14,648
9.8.15,2242
9.8.16,1738
9.8.17,7874
9.8.18,11239
9.8.19,3227
9.8.20,14974
9.8.21,15619
9.8.22,1159181
9.8.23,1119165
9.8.24,1303
10.1.1.1,5169346
10.1.1.2,2063895
10.1.1.3,658100
10.1.1.4,1319215
10.1.1.5,646315
10.1.1.6,275664
10.1.1.7,430643
10.1.1.8,373437
10.1.1.9,76952
10.1.1.10,62888
10.1.1.11,23427
10.1.1.12,85835
10.1.1.13,555842
10.1.1.14,125000
10.1.1.15,165000
10.1.1.16,64059
10.1.1.17,186588
10.1.1.18,209719
10.1.1.19,253029
10.1.1.20,35489
10.1.1.21,57448
10.1.1.22,44778
10.1.1.23,16428
10.1.1.24,54780
10.1.1.25,103075
10.1.1.26,328641
10.1.1.27,507934
10.1.1.28,177259
10.1.1.29,183064
10.1.1.30,286868
10.1.1.31,86305
10.1.1.32,129457
10.1.1.33,1383239
10.1.1.34,404964
10.1.1.35,2453412
10.1.1.36,404964
10.1.1.37,2540371
10.1.1.38,404964
10.1.1.39,257025
10.1.1.40,646315
10.1.1.41,43305
10.1.1.42,145173
10.1.2.1,11720652
10.1.2.2,13910391
10.1.2.3,16818001
10.1.2.4,19980149
10.1.2.5,23978207
10.1.2.6,10849813
10.1.2.7,11770122
10.1.2.8,13227828
10.1.2.9,14939389
10.1.2.10,21812134
10.1.2.11,26140976
10.1.2.12,5195825
10.1.2.13,10036940
10.1.2.14,12368644
10.1.2.15,25665650
10.1.2.16,21514433
10.1.2.17,31531706
10.1.2.18,20384050
10.1.2.19,22122556
10.1.2.20,26140976
10.1.2.21,29748344
10.1.2.22,28655054
10.1.2.23,35255468
10.1.2.24,14566551
10.1.2.25,1860929
10.1.2.26,3578924
10.1.2.27,637812
10.1.2.28,8900000
10.1.2.29,12908659
10.1.2.30,5022162
10.1.2.31,7203600
10.1.2.32,8456400
10.1.3.1,16540000
10.1.3.2,19019000
10.1.3.3,4700000
10.1.3.4,11303940
10.2.1.1,10955
10.2.1.2,12901
10.2.1.3,13201
10.2.1.4,15263
10.2.1.5,22395
10.2.1.6,21014
10.2.1.7,34301
10.2.1.8,51238
10.2.1.9,54358
10.2.1.10,57983
10.2.1.11,20779
10.2.1.12,22819
10.2.1.13,25496
10.2.1.14,32621
10.2.1.15,36162
10.2.1.16,41314
10.2.1.17,68206
10.2.1.18,35068
10.2.1.19,36572
10.2.1.20,40510
10.2.1.21,49100
10.2.1.22,53855
10.2.1.23,61052
10.2.1.24,95889
10.2.1.25,18564
10.2.1.26,19100
10.2.1.27,21550
10.2.1.28,25433
10.2.1.29,29505
10.2.1.30,38818
10.2.1.31,48895
